ip.src,ip.dst,_ws.col.protocol,_ws.col.packet_length,tcp.port
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,382,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.124,224.0.0.251,MDNS,382,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,382,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.124,192.168.1.54,SSDP,380,
192.168.1.124,192.168.1.54,SSDP,380,
192.168.1.124,224.0.0.251,MDNS,380,
192.168.1.54,192.168.1.124,TCP,164,53235,8009
192.168.1.124,192.168.1.54,TCP,164,8009,53235
192.168.1.54,192.168.1.124,TCP,54,53235,8009
192.168.1.54,192.168.1.124,TCP,66,53241,56790
192.168.1.124,192.168.1.54,TCP,66,56790,53241
192.168.1.54,192.168.1.124,TCP,54,53241,56790
192.168.1.54,192.168.1.124,HTTP,300,53241,56790
192.168.1.124,192.168.1.54,TCP,54,56790,53241
192.168.1.124,192.168.1.54,TCP,155,56790,53241
192.168.1.124,192.168.1.54,HTTP/XML,506,56790,53241
192.168.1.54,192.168.1.124,TCP,54,53241,56790
192.168.1.54,192.168.1.124,TCP,54,53241,56790
192.168.1.124,192.168.1.54,TCP,54,56790,53241
192.168.1.54,192.168.1.124,TCP,66,53242,56790
192.168.1.124,192.168.1.54,TCP,66,56790,53242
192.168.1.54,192.168.1.124,TCP,54,53242,56790
192.168.1.54,192.168.1.124,HTTP,286,53242,56790
192.168.1.124,192.168.1.54,TCP,54,56790,53242
192.168.1.124,192.168.1.54,TCP,155,56790,53242
192.168.1.124,192.168.1.54,HTTP/XML,506,56790,53242
192.168.1.54,192.168.1.124,TCP,54,53242,56790
192.168.1.54,192.168.1.124,TCP,54,53242,56790
192.168.1.124,192.168.1.54,TCP,54,56790,53242
192.168.1.124,192.168.1.54,SSDP,380,
192.168.1.124,192.168.1.54,SSDP,380,
