ip.src,ip.dst,_ws.col.protocol,_ws.col.packet_length,tcp.port
192.168.1.54,192.168.1.124,TCP,164,49845,8009
192.168.1.124,192.168.1.54,TCP,164,8009,49845
192.168.1.54,192.168.1.124,TCP,54,49845,8009
192.168.1.124,192.168.1.54,TCP,164,8009,49845
192.168.1.54,192.168.1.124,TCP,66,49845,8009
192.168.1.54,192.168.1.124,TCP,164,49849,8009
192.168.1.124,192.168.1.54,TCP,164,8009,49849
192.168.1.54,192.168.1.124,TCP,54,49849,8009
192.168.1.54,192.168.1.124,TCP,164,49845,8009
192.168.1.124,192.168.1.54,TCP,164,8009,49845
192.168.1.54,192.168.1.124,TCP,54,49845,8009
192.168.1.54,192.168.1.124,TCP,164,49849,8009
192.168.1.124,192.168.1.54,TCP,164,8009,49849
192.168.1.54,192.168.1.124,TCP,54,49849,8009
192.168.1.54,192.168.1.124,TCP,164,49845,8009
192.168.1.124,192.168.1.54,TCP,164,8009,49845
192.168.1.54,192.168.1.124,TCP,54,49845,8009
192.168.1.54,192.168.1.124,TCP,164,49849,8009
192.168.1.124,192.168.1.54,TCP,164,8009,49849
192.168.1.54,192.168.1.124,TCP,54,49849,8009
192.168.1.54,192.168.1.124,TCP,164,49845,8009
192.168.1.124,192.168.1.54,TCP,164,8009,49845
192.168.1.54,192.168.1.124,TCP,54,49845,8009
192.168.1.54,192.168.1.124,TCP,164,49849,8009
192.168.1.124,192.168.1.54,TCP,164,8009,49849
192.168.1.54,192.168.1.124,TCP,54,49849,8009
192.168.1.54,192.168.1.124,TCP,164,49845,8009
192.168.1.124,192.168.1.54,TCP,164,8009,49845
192.168.1.54,192.168.1.124,TCP,54,49845,8009
192.168.1.54,192.168.1.124,TCP,164,49849,8009
192.168.1.124,192.168.1.54,TCP,164,8009,49849
192.168.1.54,192.168.1.124,TCP,54,49849,8009
192.168.1.54,192.168.1.124,TCP,164,49845,8009
192.168.1.124,192.168.1.54,TCP,164,8009,49845
192.168.1.54,192.168.1.124,TCP,54,49845,8009
192.168.1.54,192.168.1.124,TCP,164,49849,8009
192.168.1.124,192.168.1.54,TCP,164,8009,49849
192.168.1.54,192.168.1.124,TCP,54,49849,8009
192.168.1.54,192.168.1.124,TCP,164,49845,8009
192.168.1.124,192.168.1.54,TCP,164,8009,49845
192.168.1.54,192.168.1.124,TCP,54,49845,8009
192.168.1.54,192.168.1.124,TCP,164,49849,8009
192.168.1.124,192.168.1.54,TCP,164,8009,49849
192.168.1.54,192.168.1.124,TCP,54,49849,8009
192.168.1.54,192.168.1.124,AJP13,164,49845,8009
192.168.1.124,192.168.1.54,AJP13,164,8009,49845
192.168.1.54,192.168.1.124,TCP,54,49845,8009
192.168.1.54,192.168.1.124,AJP13,164,49849,8009
192.168.1.124,192.168.1.54,AJP13,164,8009,49849
192.168.1.54,192.168.1.124,TCP,54,49849,8009
192.168.1.54,192.168.1.124,TCP,164,49845,8009
192.168.1.124,192.168.1.54,TCP,164,8009,49845
192.168.1.54,192.168.1.124,TCP,54,49845,8009
